date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:53:43	46823/46823	---M--	200	added ('OK')	image/jpeg	etag:7067585642e6d75772a6963b9bd1a8eea91d6cda6a1b37f48ae7924b.jpg	https://content.pancake.vn/1/s500x600/e1/32/f8/d9/7067585642e6d75772a6963b9bd1a8eea91d6cda6a1b37f48ae7924b.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s500x600/e1/32/f8/d9/7067585642e6d75772a6963b9bd1a8eea91d6cda6a1b37f48ae7924b.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:43	11780/11780	---M--	200	added ('OK')	image/webp	etag:33b0514a1a67ff096f726840611bebfc1f54c961c840ad13fdfa104c.jpg	https://content.pancake.vn/1/s750x1250/fwebp/75/e7/52/87/33b0514a1a67ff096f726840611bebfc1f54c961c840ad13fdfa104c.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s750x1250/fwebp/75/e7/52/87/33b0514a1a67ff096f726840611bebfc1f54c961c840ad13fdfa104c.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:43	42909/42909	---M--	200	added ('OK')	image/jpeg	etag:33b0514a1a67ff096f726840611bebfc1f54c961c840ad13fdfa104c.jpg	https://content.pancake.vn/1/s750x1250/75/e7/52/87/33b0514a1a67ff096f726840611bebfc1f54c961c840ad13fdfa104c.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s750x1250/75/e7/52/87/33b0514a1a67ff096f726840611bebfc1f54c961c840ad13fdfa104c.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:44	34828/34828	---M--	200	added ('OK')	image/webp	etag:fdb4bd0c396e7d47f372f3193d635cabb18a36922ac69aeb92db8cff.png	https://content.pancake.vn/1/s550x700/fwebp/f2/af/cd/fd/fdb4bd0c396e7d47f372f3193d635cabb18a36922ac69aeb92db8cff.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s550x700/fwebp/f2/af/cd/fd/fdb4bd0c396e7d47f372f3193d635cabb18a36922ac69aeb92db8cff.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:44	230871/230871	---M--	200	added ('OK')	image/png	etag:fdb4bd0c396e7d47f372f3193d635cabb18a36922ac69aeb92db8cff.png	https://content.pancake.vn/1/s550x700/f2/af/cd/fd/fdb4bd0c396e7d47f372f3193d635cabb18a36922ac69aeb92db8cff.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s550x700/f2/af/cd/fd/fdb4bd0c396e7d47f372f3193d635cabb18a36922ac69aeb92db8cff.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:44	53866/53866	---M--	200	added ('OK')	image/webp	etag:49d56e0b110218b9f20ab45eaf4d8eae6a3d4f649fa5416aeaa3d3c4.png	https://content.pancake.vn/1/s500x400/fwebp/7f/68/34/ce/49d56e0b110218b9f20ab45eaf4d8eae6a3d4f649fa5416aeaa3d3c4.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s500x400/fwebp/7f/68/34/ce/49d56e0b110218b9f20ab45eaf4d8eae6a3d4f649fa5416aeaa3d3c4.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:44	41934/41934	---M--	200	added ('OK')	image/png	etag:49d56e0b110218b9f20ab45eaf4d8eae6a3d4f649fa5416aeaa3d3c4.png	https://content.pancake.vn/1/s500x400/7f/68/34/ce/49d56e0b110218b9f20ab45eaf4d8eae6a3d4f649fa5416aeaa3d3c4.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s500x400/7f/68/34/ce/49d56e0b110218b9f20ab45eaf4d8eae6a3d4f649fa5416aeaa3d3c4.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:45	10010/10010	---M--	200	added ('OK')	image/webp	etag:33b0514a1a67ff096f726840611bebfc1f54c961c840ad13fdfa104c.jpg	https://content.pancake.vn/1/s750x1000/fwebp/75/e7/52/87/33b0514a1a67ff096f726840611bebfc1f54c961c840ad13fdfa104c.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s750x1000/fwebp/75/e7/52/87/33b0514a1a67ff096f726840611bebfc1f54c961c840ad13fdfa104c.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:45	35610/35610	---M--	200	added ('OK')	image/jpeg	etag:33b0514a1a67ff096f726840611bebfc1f54c961c840ad13fdfa104c.jpg	https://content.pancake.vn/1/s750x1000/75/e7/52/87/33b0514a1a67ff096f726840611bebfc1f54c961c840ad13fdfa104c.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s750x1000/75/e7/52/87/33b0514a1a67ff096f726840611bebfc1f54c961c840ad13fdfa104c.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:45	41922/41922	---M--	200	added ('OK')	image/webp	etag:d309c5086be59d9c030a949e5a81818008880eb1170e861baa0dc22e.png	https://content.pancake.vn/1/s750x700/fwebp/f7/47/be/93/d309c5086be59d9c030a949e5a81818008880eb1170e861baa0dc22e.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s750x700/fwebp/f7/47/be/93/d309c5086be59d9c030a949e5a81818008880eb1170e861baa0dc22e.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:45	15016/15016	---M--	200	added ('OK')	image/webp	etag:eb822d631c924d0516b287ad492cb19e7ad83b78a98ebbfdc90505a8.jpg	https://content.pancake.vn/1/s500x600/fwebp/87/f6/dc/24/eb822d631c924d0516b287ad492cb19e7ad83b78a98ebbfdc90505a8.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s500x600/fwebp/87/f6/dc/24/eb822d631c924d0516b287ad492cb19e7ad83b78a98ebbfdc90505a8.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:45	25841/25841	---M--	200	added ('OK')	image/jpeg	etag:eb822d631c924d0516b287ad492cb19e7ad83b78a98ebbfdc90505a8.jpg	https://content.pancake.vn/1/s500x600/87/f6/dc/24/eb822d631c924d0516b287ad492cb19e7ad83b78a98ebbfdc90505a8.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s500x600/87/f6/dc/24/eb822d631c924d0516b287ad492cb19e7ad83b78a98ebbfdc90505a8.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:46	21272/21272	---M--	200	added ('OK')	image/webp	etag:64a4d1a4c4ced67dc2f8de24bb302620c1f91cc2a10cdc87311d9a81.jpeg	https://content.pancake.vn/1/s500x650/fwebp/cb/13/f5/56/64a4d1a4c4ced67dc2f8de24bb302620c1f91cc2a10cdc87311d9a81.jpeg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s500x650/fwebp/cb/13/f5/56/64a4d1a4c4ced67dc2f8de24bb302620c1f91cc2a10cdc87311d9a81.jpeg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:46	30438/30438	---M--	200	added ('OK')	image/jpeg	etag:64a4d1a4c4ced67dc2f8de24bb302620c1f91cc2a10cdc87311d9a81.jpeg	https://content.pancake.vn/1/s500x650/cb/13/f5/56/64a4d1a4c4ced67dc2f8de24bb302620c1f91cc2a10cdc87311d9a81.jpeg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s500x650/cb/13/f5/56/64a4d1a4c4ced67dc2f8de24bb302620c1f91cc2a10cdc87311d9a81.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:46	14400/14400	---M--	200	added ('OK')	image/webp	etag:1de46b6f9a804192d577d17a4c65d449735996dd27a7061058480777.jpg	https://content.pancake.vn/1/s600x600/fwebp/63/54/a0/3f/1de46b6f9a804192d577d17a4c65d449735996dd27a7061058480777.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s600x600/fwebp/63/54/a0/3f/1de46b6f9a804192d577d17a4c65d449735996dd27a7061058480777.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:47	41682/41682	---M--	200	added ('OK')	image/jpeg	etag:1de46b6f9a804192d577d17a4c65d449735996dd27a7061058480777.jpg	https://content.pancake.vn/1/s600x600/63/54/a0/3f/1de46b6f9a804192d577d17a4c65d449735996dd27a7061058480777.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s600x600/63/54/a0/3f/1de46b6f9a804192d577d17a4c65d449735996dd27a7061058480777.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:47	3058/3058	---M--	200	added ('OK')	image/webp	etag:d8b83cf16962c93fd0a340cfcdde9f3dafc1b14c52e880c3b2553e02.jpg	https://content.pancake.vn/1/s750x800/fwebp/5a/bd/d5/9b/d8b83cf16962c93fd0a340cfcdde9f3dafc1b14c52e880c3b2553e02.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s750x800/fwebp/5a/bd/d5/9b/d8b83cf16962c93fd0a340cfcdde9f3dafc1b14c52e880c3b2553e02.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:47	10143/10143	---M--	200	added ('OK')	image/jpeg	etag:d8b83cf16962c93fd0a340cfcdde9f3dafc1b14c52e880c3b2553e02.jpg	https://content.pancake.vn/1/s750x800/5a/bd/d5/9b/d8b83cf16962c93fd0a340cfcdde9f3dafc1b14c52e880c3b2553e02.jpg	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s750x800/5a/bd/d5/9b/d8b83cf16962c93fd0a340cfcdde9f3dafc1b14c52e880c3b2553e02.jpg	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:47	29808/29808	---M--	200	added ('OK')	text/javascript	date:Sat,%2004%20Jan%202025%2008:53:48%20GMT	https://a.pancake.vn/js/heatmap.js?vsn=d&version=7	C:/My%20Web%20Sites/MyPham11/a.pancake.vn/js/heatmapf5cd.js	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:48	448732/448732	---M-Z	200	added ('OK')	application/javascript	etag:%224412150%22	https://preview.webcake.io/address_wc/address.84.min.js?v=1	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/address_wc/address.84.min3860.js	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:48	100433/100433	---M-Z	200	added ('OK')	text/css	etag:%2274F121D%22	https://api.webcake.io/animate/animatev4.css?v=1	C:/My%20Web%20Sites/MyPham11/api.webcake.io/animate/animatev43860.css	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:48	654/654	---M-Z	200	added ('OK')	text/css	etag:%2237AA623%22	https://api.webcake.io/render_iconfont/iconfont.css?v=1	C:/My%20Web%20Sites/MyPham11/api.webcake.io/render_iconfont/iconfont3860.css	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:48	462064/462064	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jan%202025%2008:53:49%20GMT	https://preview.webcake.io/webcake/v4/119ac988-71fe-4f27-81af-071c829029df?v=1	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/webcake/v4/119ac988-71fe-4f27-81af-071c829029df3860.html	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:49	295583/295583	---M-Z	200	added ('OK')	application/javascript	etag:%2250A6C4C%22	https://preview.webcake.io/render_v4/product.js?v=1735980815360ywg4qmcqgo	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/render_v4/product90a4.js	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:49	35/35	---M--	200	added ('OK')	image/gif	date:Sat,%2004%20Jan%202025%2008:53:50%20GMT	https://preview.webcake.io/page_view.gif?pid=5c04bd06-ffc9-437f-8a0b-16720e684a4a	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/page_view2d04.gif	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:49	35680/35680	---M--	200	added ('OK')	image/png	etag:d6427653b3fa44d854f2171914c91e090286b98f56448f3101970b11.png	https://content.pancake.vn/1/48/c1/5e/fa/d6427653b3fa44d854f2171914c91e090286b98f56448f3101970b11.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/48/c1/5e/fa/d6427653b3fa44d854f2171914c91e090286b98f56448f3101970b11.png	(from https://preview.webcake.io/pages/my-pham-va-sac-dep-11)
15:53:50	1092/1092	---M--	200	added ('OK')	font/woff2	etag:%225389B43%22	https://api.webcake.io/render_iconfont/iconfont.woff2?t=1629107326521	C:/My%20Web%20Sites/MyPham11/api.webcake.io/render_iconfont/iconfontbd18.woff2	(from https://api.webcake.io/render_iconfont/iconfont.css?v=1)
15:53:50	1492/1492	---M--	200	added ('OK')	font/woff	etag:%2230B3C67%22	https://api.webcake.io/render_iconfont/iconfont.woff?t=1629107326521	C:/My%20Web%20Sites/MyPham11/api.webcake.io/render_iconfont/iconfontbd18.woff	(from https://api.webcake.io/render_iconfont/iconfont.css?v=1)
